Echo of Input Data
20,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
21,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
22,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
23,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
24,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
25,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
26,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
27,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
28,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
32,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
33,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
34,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
Beams:
 ID, Xi, Yi, Xj, Yj, Param*, LLRed,, Type, Frame, User
,      ft,      ft,      ft,      ft,      ksi, %,,, Type, Size
   1, 55.500, 45.146, 64.000, 45.146,   5.0,Calc,,Conc,Gravity,B 12x66
   2, 64.000, 45.146, 74.375, 45.146,   5.0,Calc,,Conc,Gravity,B 12x66
   3, 74.375, 45.146, 83.500, 45.146,   5.0,Calc,,Conc,Gravity,B 12x66
   4, 71.000, 59.500, 71.000, 76.469,   5.0,Calc,,Conc,Gravity,B 12x36
   7, 64.000, 45.146, 64.000, 54.000,   5.0,Calc,,Conc,Gravity,B 12x10
   8, 74.375, 45.146, 74.375, 54.000,   5.0,Calc,,Conc,Gravity,B 12x10
* Parameter:, Steel - Fy
,Concrete - f'c
,Other - E
Concrete Beam Properties:
 ID, UW, UW Self, Conc, fct, Ec, Poisson, fy Long, fyt Shear,, Defl
, (pcf), (pcf), Type, (ksi), (ksi), Ratio, (ksi), (ksi),, Criteria
1,145.00,150.00,NWC,----,Code,0.20,60.00,60.00,,
2,145.00,150.00,NWC,----,Code,0.20,60.00,60.00,,
3,145.00,150.00,NWC,----,Code,0.20,60.00,60.00,,
4,145.00,150.00,NWC,----,Code,0.20,60.00,60.00,,
7,145.00,150.00,NWC,----,Code,0.20,60.00,60.00,,
8,145.00,150.00,NWC,----,Code,0.20,60.00,60.00,,
Walls:
 ID, Xi, Yi, Xj, Yj, Frame, Material, LLRed
, ft, ft, ft, ft, Type,, %
   1,  54.000,  78.000,  66.000,  78.000,Lateral,Concrete,  Calc
   3,  54.000,  54.000,  66.000,  54.000,Lateral,Concrete,  Calc
   4,  66.000,  54.000,  66.000,  78.000,Lateral,Concrete,  Calc
   5,  84.750,  45.146,  84.750,  54.000,Lateral,Concrete,  Calc
   9,   0.000, 112.083, 122.167, 112.083,Lateral,Concrete,  Calc
  13,   0.000,  -8.750, 195.000,  -8.750,Lateral,Concrete,  Calc
  14,   0.000,  -8.750,   0.000, 112.083,Lateral,Concrete,  Calc
  15,  66.000,  78.000,  71.000,  78.000,Lateral,Concrete,  Calc
  16,  66.000,  54.000,  71.000,  54.000,Lateral,Concrete,  Calc
  17,  71.000,  54.000,  84.750,  54.000,Lateral,Concrete,  Calc
  24,  54.000,  45.146,  55.500,  45.146,Gravity,Concrete,  Calc
  25,  83.500,  45.146,  84.750,  45.146,Gravity,Concrete,  Calc
  26,  71.000,  76.469,  71.000,  78.000,Lateral,Concrete,  Calc
  27,  71.000,  54.000,  71.000,  59.500,Lateral,Concrete,  Calc
  32,  54.000,  45.146,  54.000,  54.000,Lateral,Concrete,  Calc
  33,  54.000,  54.000,  54.000,  58.250,Lateral,Concrete,  Calc
  34,  54.000,  58.250,  54.000,  78.000,Lateral,Concrete,  Calc
  37, 122.167,  53.000, 156.000,  53.000,Lateral,Concrete,  Calc
  38, 156.000,  53.000, 189.000,  53.000,Lateral,Concrete,  Calc
  39, 189.000,  53.000, 195.000,  53.000,Lateral,Concrete,  Calc
  40, 195.000,  -8.750, 195.000,  53.000,Lateral,Concrete,  Calc
  42, 156.000,  32.833, 156.000,  53.000,Lateral,Concrete,  Calc
  43, 122.167,  53.000, 122.167, 112.083,Lateral,Concrete,  Calc
  44, 156.000,  53.000, 156.000,  54.000,Lateral,Concrete,  Calc
Concrete Wall Properties:
 ID, Pois, UnitWt, UW Self, f'c, Thick,  Ec
,, pcf, pcf, ksi,  in,  ksi
   1,0.20, 145.000, 150.000,   4.000,  12.000,Calc
   3,0.20, 145.000, 150.000,   4.000,  12.000,Calc
   4,0.20, 145.000, 150.000,   4.000,  12.000,Calc
   5,0.20, 145.000, 150.000,   4.000,  12.000,Calc
   9,0.20, 145.000, 150.000,   5.000,  12.000,Calc
  13,0.20, 145.000, 150.000,   5.000,  12.000,Calc
  14,0.20, 145.000, 150.000,   5.000,  12.000,Calc
  15,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  16,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  17,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  24,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  25,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  26,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  27,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  32,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  33,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  34,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  37,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  38,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  39,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  40,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  42,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  43,0.20, 145.000, 150.000,   4.000,  12.000,Calc
  44,0.20, 145.000, 150.000,   4.000,  12.000,Calc
Slab Edges:
 Xi, Yi, Xj, Yj, Edge Dist
 ft, ft, ft, ft, in
Diaphragm 1:
   0.000, 112.000, 122.167, 112.083,      6.0
 122.167, 112.000, 122.167, 112.083,      6.0
 122.167,  53.000, 122.167, 112.000,      6.0
 122.167,  53.000, 156.000,  53.000,      6.0
 156.000,  53.000, 189.000,  53.000,      6.0
 189.000,  53.000, 195.000,  53.000,      6.0
 195.000,  -8.750, 195.000,  53.000,      6.0
   0.000,  -8.750, 195.000,  -8.750,      6.0
   0.000,  -8.750,   0.000, 112.000,      6.0
Slab Openings:
 Xi, Yi, Xj, Yj, Edge Dist
 ft, ft, ft, ft, in
  84.750,  45.146,  84.750,  54.000,      2.0
  71.000,  54.000,  84.750,  54.000,      2.0
  66.000,  54.000,  71.000,  54.000,      2.0
  54.000,  54.000,  66.000,  54.000,      2.0
  54.000,  45.146,  54.000,  54.000,      2.0
  54.000,  45.146,  55.500,  45.146,      2.0
  55.500,  45.146,  64.000,  45.146,      2.0
  64.000,  45.146,  74.375,  45.146,      2.0
  74.375,  45.146,  83.500,  45.146,      2.0
  83.500,  45.146,  84.750,  45.146,      2.0
Deck Polygons:
 Deck Prop,, Slab Action, Angle, X-Coord, Y-Coord
 Type, ID,,       ft,       ft
Concrete,    1,Two-Way,--,   -5.50,  117.58
,,,,  200.50,  117.58
,,,,  200.50,  -14.25
,,,,   -5.50,  -14.25
,,,,   -5.50,  117.58
Concrete,    4,Two-Way,--,   54.00,   45.15
,,,,   54.00,   78.00
,,,,   71.00,   78.00
,,,,   71.00,   54.00
,,,,   84.75,   54.00
,,,,   84.75,   45.15
,,,,   54.00,   45.15
Concrete,    4,Two-Way,--,  156.00,   53.50
,,,,  156.00,   42.00
,,,,  133.85,   42.00
,,,,  133.85,   54.00
,,,,  156.00,   54.00
,,,,  156.00,   53.50
Load Polygons:
 Load Properties ID, X-Coord, Y-Coord
,,       ft,       ft
,     Parking P1 Typ,   -5.50,  117.58
,,  200.50,  117.58
,,  200.50,  -14.25
,,   -5.50,  -14.25
,,   -5.50,  117.58
,            Laundry,   71.00,   54.00
,,   71.00,   88.00
,,   99.33,   88.00
,,   99.33,   45.15
,,   84.75,   45.15
,,   84.75,   54.00
,,   71.00,   54.00
,         Stairs Typ,  133.85,   54.00
,,  133.85,   42.00
,,  156.00,   42.00
,,  156.00,   54.00
,,  133.85,   54.00
,         Stairs Typ,   84.75,   45.15
,,   54.00,   45.15
,,   54.00,   78.00
,,   71.00,   78.00
,,   71.00,   54.00
,,   84.75,   54.00
,,   84.75,   45.15
,     Parking P1 Typ,   -5.50,  117.58
,,  200.50,  117.58
,,  200.50,  -14.25
,,   -5.50,  -14.25
,,   -5.50,  117.58
,            Laundry,   71.00,   78.00
,,   71.00,   88.00
,,   99.33,   88.00
,,   99.33,   45.15
,,   84.75,   45.15
,,   84.75,   54.00
,,   71.00,   54.00
,,   71.00,   78.00
,         Stairs Typ,   54.00,   78.00
,,   71.00,   78.00
,,   71.00,   54.00
,,   84.75,   54.00
,,   84.75,   45.15
,,   54.00,   45.15
,,   54.00,   78.00
,         Stairs Typ,  133.85,   54.00
,,  133.85,   42.00
,,  156.00,   42.00
,,  156.00,   54.00
,,  133.85,   54.00
 DATA FOR FLOOR TYPE: LEVEL 1
Grid Systems:
MAIN GRID
Columns:
 ID, X, Y, Shape, Orientation, Param*, LLRed,, Frame
, ft, ft,, Angle, ksi, %,, Type
     1, 119.250, 111.000, Conc,     90.00,       7.0,Use 56.12,, Gravity       
     2,  12.000, 111.000, Conc,     90.00,       7.0,Use 59.87,, Gravity       
     3,  48.000, 111.167, Conc,      0.00,       7.0,Use 60.00,, Gravity       
     4,  84.000, 111.167, Conc,      0.00,       7.0,Use 60.00,, Gravity       
     5,  98.000, 111.167, Conc,      0.00,       7.0,Use 37.28,, Gravity       
     6,  12.000,  78.833, Conc,      0.00,       7.0,Use 60.00,, Gravity       
     7,  45.000,  78.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
     8,  84.000,  78.000, Conc,      0.00,       8.0,Use 60.00,, Gravity       
     9,  98.000,  78.000, Conc,     90.00,       7.0,Use 40.00,, Gravity       
    10, 119.250,  78.000, Conc,     90.00,       7.0,Use 40.00,, Gravity       
    11,  12.833,  54.000, Conc,     90.00,       7.0,Use 40.00,, Gravity       
    12,  45.000,  54.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    13,  99.333,  54.000, Conc,     90.00,       7.0,Use 40.00,, Gravity       
    14, 119.250,  54.000, Conc,     90.00,       7.0,Use 40.00,, Gravity       
    15, 189.000,  53.000, Conc,     90.00,       7.0,Use 50.68,, Gravity       
    16,   0.833,  54.000, Conc,     90.00,       7.0,Use 36.23,, Gravity       
    17,   0.833,  34.000, Conc,     90.00,       7.0,Use 41.46,, Gravity       
    18,  12.833,  34.000, Conc,     90.00,       7.0,Use 40.00,, Gravity       
    19,  45.000,  34.000, Conc,     90.00,       8.0,Use 60.00,, Gravity       
    20,  84.000,  34.000, Conc,     90.00,       8.0,Use 60.00,, Gravity       
    21, 119.250,  34.000, Conc,     90.00,       8.0,Use 60.00,, Gravity       
    22, 189.000,  33.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    23,  12.833,  -0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    24,  48.000,   0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    25,  84.000,   0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    26, 120.000,   0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    27, 156.000,   0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    28, 189.000,  -0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    32,  64.000,  45.146, Conc,      0.00,       5.0,Use 47.26,, Gravity       
    33,  74.375,  45.146, Conc,      0.00,       5.0,Use 47.81,, Gravity       
    34,  84.000,  88.333, Conc,     90.00,       5.0,Calc,, Gravity       
* Parameter:, Steel - Fy
,Concrete - f'c
,Other - E
Concrete Column Properties:
 ID, UW, UW Self, Conc, fct, Ec, Poisson, fy Long, fyt Shear
, (pcf), (pcf), Type, (ksi), (ksi), Ratio, (ksi), (ksi)
1,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
2,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
3,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
4,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
5,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
6,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
7,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
8,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
9,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
10,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
11,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
12,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
13,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
14,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
15,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
